"num","kw","kw_ans","x","y"
1,"мир","Давай еще!",0,0
2,"отец","У тебя хорошо получается!",233,0
3,"уверенность","Так держать!",682,0
4,"качество","Ты молодец!",895,0
5,"семья","Джас ду ит!",1332,0
6,"свобода","Хорошее начало (первый пазл)",1643,0
7,"друзья","Сказано здорово. Просто и ясно",0,286
8,"коллектив","Ваще норм",352,197
9,"возможности","Давай еще!",682,280
10,"поддержка","У тебя хорошо получается!",913,188
11,"жизнь","Так держать!",1240,277
12,"запчасти","Ты молодец!",1541,187
13,"любовь","Джас ду ит!",0,611
14,"мы","Хорошее начало (первый пазл)",257,506
15,"кайф","Сказано здорово. Просто и ясно",573,605
16,"сила","Ваще норм",1009,513
17,"новости","Давай еще!",1227,601
18,"купоны","У тебя хорошо получается!",1645,487
19,"тачки","Так держать!",0,920
20,"демо","Ты молодец!",360,833
21,"фича","Джас ду ит!",572,915
22,"товары","Хорошее начало (первый пазл)",1012,813
23,"фитбэк","Сказано здорово. Просто и ясно",1225,913
24,"разраб","Ваще норм",1556,823
