"num","kw","kw_ans","x","y"
1,"фарпост","Гениально!",0,0
2,"любовь","Блестящая идея!",233,0
3,"купоны","Так держать!",682,0
4,"друзья","Ты жжешь!",895,0
5,"мы","Супер!",1332,0
6,"свобода","Ваще норм))",1643,0
7,"реклама","В точку! Что надо!",0,286
8,"скрам","Хорошее начало",352,197
9,"agile","Быстрее всех!",682,280
10,"javascript","Все отлично!",913,188
11,"фича","Well done!",1240,277
12,"новости","Ты молодец!",1541,187
13,"тачки","Верно!",0,611
14,"custdev","Вот это да!",257,506
15,"php","Крутяк!",573,605
16,"контент","У тебя получилось!",1009,513
17,"фидбэк","Давай еще!",1227,601
18,"товары","У тебя хорошо получается!",1645,487
19,"демо","Ты молодец!",0,920
20,"jira","Поздравляю, всё правильно!",360,833
21,"развитие","Джас ду ит!",572,915
22,"бизнес","Давай еще!",1012,813
23,"люди","Дас ист фантастиш!",1225,913
24,"комфорт","Дай пять!",1556,823
